,gender_word,verb,relation,gender
453,男孩,及于,dobj,male
454,她,站,nsubj,female
455,妈妈,们,nn,female
456,妈妈,们,nn,female
457,她们,下厨,nsubj,female
458,小妹,要,nsubj,female
459,她,带,dobj,female
460,妈妈,们,nn,female
461,她,读,nsubj,female
462,男生,女生,nn,male
463,女生,看,nsubj,female
464,爷爷,问,dobj,male
465,她们,打扮,assmod,female
466,她们,这些,dep,female
467,她们,想,nsubj,female
468,她,仰脸,nsubj,female
469,她,冲,nsubj,female
470,她,人,nn,female
471,妈妈,机警,nsubj,female
472,爸爸,有,nsubj,male
473,妹妹,劝,nsubj,female
474,她,有,nsubj,female
475,女孩,与,pobj,female
476,她,恨,dobj,female
477,她,过敏,nsubj,female
478,小姐,讲,nsubj,female
479,她,理由,assmod,female
480,她,给,dobj,female
481,父亲,做事,top,male
482,父亲,找,dobj,male
483,她,有,nsubj,female
484,她,上班,nsubj,female
485,她,有,top,female
486,她,脸,assmod,female
487,爸爸,和,pobj,male
488,她们,去,nsubj,female
489,她,看到,nsubj,female
490,母亲,打扮,nsubj,female
491,父亲,晒,nsubj,male
492,她,觉得,nsubj,female
493,男孩,射,nsubj,male
494,他们,田地,assmod,male
495,他,引得,dobj,male
496,她,和,pobj,female
497,他,旅,nn,male
498,他,闹,nsubj,male
499,她,是,top,female
500,女孩,是,attr,female
501,他们,kiss,nsubj,male
502,她,看到,nsubj,female
503,他,讲到,nsubj,male
504,他,神采飞扬,nsubj,male
505,他,问,dobj,male
506,他,敬,dobj,male
507,他,激,dobj,male
508,他,想,nsubj,male
509,她,给,dobj,female
510,她们,跟,pobj,female
511,女孩,是,attr,female
512,她,勾,nsubj,female
513,他,开车,nsubj,male
514,他,模样,nn,male
515,他,做,top,male
516,他,眼睛,assmod,male
517,她,希望,nsubj,female
518,他,试,nsubj,male
519,他,讲,nsubj,male
520,他们,有,top,male
521,妈妈,说,nsubj,female
522,女孩,当,top,female
523,妹妹,让,dobj,female
524,妹妹,搀,nsubj,female
525,妹妹,拽住,nsubj,female
526,他,爱,nsubj,male
527,爸爸,妈妈,nn,male
528,妈妈,爱,dobj,female
529,她,懂,nsubj,female
530,男,孩子,amod,male
531,母亲,陪,dobj,female
532,父亲,托人,nsubj,male
533,他们,是,nsubj,male
534,他们,家,dep,male
535,他们,父亲,assmod,male
536,父亲,看,dobj,male
537,男,孩子,amod,male
538,他们,比,nsubj,male
539,他,属于,dobj,male
540,他,沉,nsubj,male
541,男孩,热爱,nsubj,male
542,女孩,L,nn,female
543,女孩,心许,nsubj,female
544,他,跟,pobj,male
545,他,目睹,nsubj,male
546,他,记挂,nsubj,male
547,父亲,立,nsubj,male
548,他,清楚,nsubj,male
549,父亲,协助,dobj,male
550,女孩,托,nsubj,female
551,他们,要求,nsubj,male
552,他们,神话,assmod,male
553,他,做,nsubj,male
554,他,知,nsubj,male
555,他,豁达,nsubj,male
556,她,这般,nsubj,female
557,先生,口才,assmod,male
558,他,教法,assmod,male
559,女孩,L,nn,female
560,他,看,dobj,male
561,她,渡河,nsubj,female
562,他,要,nsubj,male
563,她,帮,dobj,female
564,他们,去,nsubj,male
565,男人,以为,nsubj,male
566,她们,一样,nsubj,female
567,她们,看,dobj,female
568,她们,是,nsubj,female
569,伯伯,去世,nsubj,male
570,他们,人模人样,nsubj,male
571,他们,袭击,dobj,male
572,他们,拱,nsubj,male
573,男孩,旋转,dep,male
574,爷爷,除了,pobj,male
575,爷爷,说,nsubj,male
576,先生,说,nsubj,male
577,他,听,dobj,male
578,妈妈,笑,nsubj,female
579,外公,爱,nsubj,male
580,她,让,dobj,female
581,她,有,nsubj,female
582,男孩,女孩,nn,male
583,女孩,赤,nsubj,female
584,女孩,长发,assmod,female
585,他,唱起,nsubj,male
586,他们,教,dobj,male
587,女子,学校,nn,female
588,他,记得,nsubj,male
589,他,给,dobj,male
590,他们,讲出,nsubj,male
591,阿公,配,nsubj,male
