,gender_word,verb,relation,gender
3746,他,生活,nn,male
3747,爸爸,买,nsubj,male
3748,他们,居心,assmod,male
3749,他们,有,nsubj,male
3750,先生,说,nsubj,male
3751,她,提,nsubj,female
3752,他,名字,assmod,male
3753,他,活,nsubj,male
3754,她,心底,dep,female
3755,她,迎风,nsubj,female
3756,她,们,assmod,female
3757,妈妈,怀里,nn,female
3758,妈妈,想,dobj,female
3759,爷爷,说,nsubj,male
3760,爷爷,说,nsubj,male
3761,他,话,assmod,male
3762,她,送给,dobj,female
3763,她,相信,top,female
3764,妈妈,以为,nsubj,female
3765,她,知,nsubj,female
3766,她,能,nsubj,female
3767,她,看透,dobj,female
3768,她,眼睛,nn,female
3769,女孩,让,nsubj,female
3770,她,仍然,nsubj,female
3771,女孩,和,pobj,female
3772,女孩,是,attr,female
3773,爸爸,妈妈,nn,male
3774,妈妈,要,nsubj,female
3775,爷爷,回来,nsubj,male
3776,阿姨,搬到,nsubj,female
3777,爷爷,住,nsubj,male
3778,爷爷,住,nsubj,male
3779,爷爷,应,nsubj,male
3780,先生,先生,conj,male
3781,先生,邀,assmod,male
3782,爷爷,中饭,nn,male
3783,爷爷,长袍,nn,male
3784,爷爷,手指,assmod,male
3785,爷爷,慷慨,nsubj,male
3786,爷爷,讲,nsubj,male
3787,女士,着,nsubj,female
3788,先生,家传,nn,male
3789,先生,好,nsubj,male
3790,爷爷,讲,nsubj,male
3791,他,与,pobj,male
3792,他们,见,dobj,male
3793,爷爷,要,nsubj,male
3794,爷爷,说,nsubj,male
3795,爷爷,是,top,male
3796,她,想,nsubj,female
3797,父亲,是,top,male
3798,哥哥,考好,nsubj,male
3799,她,觉得,nsubj,female
3800,她,在乎,top,female
3801,她,倚,nsubj,female
3802,她,是,nsubj,female
3803,女孩,是,attr,female
3804,她,凌,conj,female
3805,她,喜欢,dobj,female
3806,她,走起,nsubj,female
3807,女孩,想,dobj,female
3808,她,爱,nsubj,female
3809,她,使,dobj,female
3810,妈妈,送,dobj,female
3811,妈妈,不得了,nsubj,female
3812,妈妈,人,nsubj,female
3813,妈妈,床,assmod,female
3814,妈妈,高兴,nsubj,female
3815,外婆,说,nsubj,female
3816,外婆,家,nn,female
3817,妈妈,抱,nsubj,female
3818,妈妈,取名,nsubj,female
3819,妈妈,顶爱,nsubj,female
3820,妈妈,抱,nsubj,female
3821,妈妈,像是,dobj,female
3822,她,爸爸,nn,female
3823,爸爸,送,nsubj,male
3824,她,替,pobj,female
3825,爸爸,等,nsubj,male
3826,她,接,dobj,female
3827,姊姊,住校,nsubj,female
3828,妹妹,忙,nsubj,female
3829,爸爸,妈妈,nn,male
3830,妈妈,记得,nsubj,female
3831,她,画,nsubj,female
3832,小姐,送给,dobj,female
3833,她们,一样,nsubj,female
3834,他,学生,assmod,male
3835,她,看,nsubj,female
3836,她,喜欢,nsubj,female
3837,女学生,咬,nsubj,female
3838,他,眼睛,nn,male
3839,他,给,pobj,male
3840,他,眼睛,assmod,male
3841,她,叫,dobj,female
3842,她,叫,dobj,female
3843,她,在,nsubj,female
3844,她,给,dobj,female
3845,他,想,dobj,male
3846,他,眼睛,nsubj,male
3847,他,回信,nn,male
3848,他,保护层,assmod,male
3849,他,有,top,male
3850,他,子,assmod,male
3851,爷爷,和,pobj,male
3852,爷爷,说,nsubj,male
3853,爷爷,讲,nsubj,male
3854,他,文章,assmod,male
3855,他,凌辱,dobj,male
3856,他,想,dobj,male
3857,他,想,nsubj,male
3858,他,在,nsubj,male
3859,他,对,dobj,male
3860,他,见,dobj,male
3861,他,见,dobj,male
3862,爷爷,讲,nsubj,male
3863,爷爷,说,nsubj,male
3864,爷爷,说,nsubj,male
3865,爷爷,与,pobj,male
3866,他,熟,nsubj,male
3867,爷爷,说,nsubj,male
3868,他,听,dobj,male
3869,她,请,dobj,female
3870,女孩,有,dobj,female
3871,她们,是,top,female
3872,她们,谈话,nsubj,female
3873,她们,宠,nsubj,female
3874,妈妈,像,pobj,female
3875,她们,叮嘱,dobj,female
3876,女孩,是,attr,female
3877,她,是,top,female
3878,她,暴躁,nsubj,female
3879,她,暴躁,assmod,female
3880,她,正义感,assmod,female
3881,她们,脸,nn,female
3882,她,认作,nsubj,female
3883,哥哥,是,attr,male
3884,妹妹,是,attr,female
3885,舅舅,是,attr,male
3886,姊妹,无,dobj,female
3887,姊姊,大过,nsubj,female
3888,姊姊,像是,dobj,female
3889,哥哥,叫,dobj,male
3890,他,带,nsubj,male
3891,他,漏接,nsubj,male
3892,爸爸,说,nsubj,male
3893,姊姊,和,pobj,female
3894,他,书,nn,male
3895,姊姊,同学,nn,female
3896,妹妹,陪,nsubj,female
3897,女孩,坐,nsubj,female
3898,妹妹,劝,nsubj,female
3899,妈妈,晓得,nsubj,female
3900,她,爸爸,conj,female
3901,爸爸,讲,nsubj,male
3902,她,挂上,nsubj,female
3903,妹妹,搀,nsubj,female
3904,妹妹,拽住,nsubj,female
3905,爷爷,啜,nsubj,male
3906,爷爷,回答,dobj,male
3907,她,界定,dobj,female
3908,她,跨足,nsubj,female
3909,她们,找,nsubj,female
3910,她,称,dobj,female
3911,她,电话,nn,female
3912,她,本人,dep,female
3913,她,告诉,dobj,female
3914,她,文章,assmod,female
3915,她,好,nsubj,female
3916,她,消息,assmod,female
3917,她,没有,nsubj,female
3918,她,意思,assmod,female
3919,她,说,nsubj,female
3920,她,自由,nsubj,female
3921,她,人士,conj,female
3922,她,告诉,dobj,female
3923,她,答非所问,nsubj,female
3924,她,哲学,nn,female
3925,她,咖啡,assmod,female
3926,她,告诉,nsubj,female
3927,她,补充,nsubj,female
3928,她,圈子,assmod,female
3929,她,认为,nsubj,female
3930,他,充满,nsubj,male
3931,她,下决心,nsubj,female
3932,她,过,dobj,female
3933,她,说,nsubj,female
3934,她,说,nsubj,female
3935,她,解,nsubj,female
3936,她,中指,nn,female
3937,她,指头,nn,female
3938,她,手指,dep,female
3939,他,造,dobj,male
3940,他,和,pobj,male
3941,他,靠,dobj,male
3942,他,描述,nsubj,male
3943,女性,坐,nsubj,female
3944,他,令,dobj,male
3945,女子,期,nsubj,female
3946,女子,来,nsubj,female
3947,女性,面壁,nsubj,female
3948,男性,上司,nn,male
3949,女子,买,nsubj,female
3950,女性,有所谓,dobj,female
3951,女性,为,attr,female
3952,她,使,dobj,female
3953,教父,大亨,nn,male
3954,太太,们,nn,female
3955,他,说法,assmod,male
3956,男人,以为,nsubj,male
3957,小妹,送,nsubj,female
3958,男朋友,没有,dobj,male
3959,她,桌,nn,female
3960,她,来自,nsubj,female
3961,他,老婆,nn,male
3962,他,礼物,nn,male
3963,他,问,dobj,male
3964,他,受访,nsubj,male
3965,他,以为,nsubj,male
3966,他,激,dobj,male
3967,他,想,nsubj,male
3968,他们,脑子,dep,male
3969,他们,充满,nsubj,male
3970,他们,解放,nsubj,male
3971,他们,想,nsubj,male
3972,他们,爱,nsubj,male
3973,他们,必要性,assmod,male
3974,她,带,nsubj,female
3975,她,特有,nn,female
3976,她,问,nsubj,female
3977,男朋友,有没有,dobj,male
3978,男朋友,和,pobj,male
